ma_giang_vien,ho_ten,khoa_bo_mon,ngay_sinh,noi_sinh,cccd,ngay_cap_cccd,noi_cap_cccd,dan_toc,ton_giao,so_dien_thoai,dia_chi_thuong_tru,tinh_thanh_pho,phuong_xa
80001,Nguyễn Minh Nam,HTTT,1970-12-09,Tỉnh Lạng Sơn,048170181960,1991-02-26,Công an tỉnh Bình Dương,Tày,Phật giáo,0901338908,"734 đường Cách Mạng Tháng 8, Xã Ba Sơn",Tỉnh Lạng Sơn,Xã Ba Sơn
80002,Ngô Thị Trang,HTTT,1970-03-23,Tp Hải Phòng,024070235116,1989-08-11,Công an tỉnh Đồng Nai,Kinh,Hòa Hảo,0835594078,"997 đường Điện Biên Phủ, Phường Hoà Bình",Tp Hải Phòng,Phường Hoà Bình
80003,Lê Thị Chi,HTTT,1988-04-23,Tỉnh An Giang,092088413164,2013-02-16,Công an TP. Hồ Chí Minh,Nùng,Tin Lành,0375255341,"651 đường Lê Lợi, Xã Long Thạnh",Tỉnh An Giang,Xã Long Thạnh
80004,Hoàng Hữu Nam,HTTT,1984-07-09,Tỉnh Lâm Đồng,027184030564,2004-02-10,Công an tỉnh Long An,Hoa,Tin Lành,0943953767,"272 đường Lê Lợi, Phường Tiến Thành",Tỉnh Lâm Đồng,Phường Tiến Thành
80005,Hồ Thị Uyên,HTTT,1988-07-19,Tỉnh Nghệ An,092088287101,2011-10-14,Cục CS ĐKQL cư trú và DLQG về dân cư,Nùng,Không,0842691669,"542 đường Hai Bà Trưng, Xã Tiên Đồng",Tỉnh Nghệ An,Xã Tiên Đồng
80006,Đặng Thị Hằng,HTTT,1990-06-04,Tỉnh Tây Ninh,048090704828,2014-06-17,Công an tỉnh Đồng Nai,Kinh,Hòa Hảo,0834893252,"977 đường Cách Mạng Tháng 8, Phường Long An",Tỉnh Tây Ninh,Phường Long An
80007,Phạm Minh Thu,HTTT,1970-02-12,Tỉnh Đồng Tháp,092070039117,1994-01-08,Công an tỉnh Long An,Tày,Phật giáo,0948227824,"894 đường Cách Mạng Tháng 8, Xã Đồng Sơn",Tỉnh Đồng Tháp,Xã Đồng Sơn
80008,Lê Quang Thịnh,HTTT,1979-07-22,Tỉnh An Giang,040179713315,1998-03-15,Cục CS ĐKQL cư trú và DLQG về dân cư,Kinh,Công giáo,0909839301,"235 đường Nguyễn Trãi, Xã Hòn Đất",Tỉnh An Giang,Xã Hòn Đất
80009,Ngô Văn Lâm,HTTT,1978-11-16,Thành phố Hà Nội,048178997376,1997-06-20,Công an tỉnh Đồng Nai,Kinh,Cao Đài,0811165667,"690 đường Nguyễn Trãi, Xã Thanh Trì",Thành phố Hà Nội,Xã Thanh Trì
80010,Phạm Hữu Thịnh,HTTT,1977-04-07,Tỉnh Lào Cai,048177624731,1997-02-12,Công an tỉnh Bình Dương,Tày,Phật giáo,0378108013,"417 đường Điện Biên Phủ, Phường Cam Đường",Tỉnh Lào Cai,Phường Cam Đường
